,SMA temperature filtered,Ambient temperature filtered,Force sensor filtered,Temperature derivative filtered
0,24.587505383936318,24.69479773475506,796.9967910790808,-0.12694898649232014
1,24.587317053085762,24.694987613469326,796.9968281334505,-0.12997758672902485
2,24.5871312926463,24.695177633200817,796.9968661432762,-0.13300064531831543
3,24.58694812289383,24.695367785736597,796.9969051140968,-0.13601796318054052
4,24.586767563934355,24.695558062856314,796.9969450514044,-0.1390293414582126
5,24.586589635702083,24.695748456333003,796.9969859606427,-0.14203458153763251
6,24.58641435795752,24.695938957933905,796.9970278472068,-0.1450334850705089
7,24.586241750285634,24.696129559421237,796.9970707164424,-0.14802585399556972
8,24.586071832094017,24.696320252553008,796.9971145736448,-0.15101149056016247
9,24.58590462261107,24.69651102908381,796.9971594240584,-0.15399019734183983
10,24.585740140884223,24.69670188076562,796.9972052728758,-0.1569617772699273
11,24.585578405778175,24.69689279934861,796.9972521252374,-0.15992603364707011
12,24.58541943597317,24.697083776581934,796.9972999862302,-0.16288277017075534
13,24.58526324996328,24.697274804214516,796.9973488608874,-0.1658317909548068
14,24.58510986605474,24.697465873995856,796.9973987541877,-0.168772900550849
15,24.584959302364283,24.69765697767682,796.9974496710541,-0.1717059039697371
16,24.584811576817515,24.697848107010444,796.9975016163542,-0.17463060670294925
17,24.58466670714732,24.698039253752707,796.9975545948982,-0.177546814743939
18,24.584524710892296,24.698230409663342,796.9976086114393,-0.18045433460944338
19,24.584385605395184,24.69842156650661,796.9976636706725,-0.1833529733607445
20,24.58424940780138,24.69861271605209,796.997719777234,-0.1862425386248807
21,24.58411613505742,24.69880385007547,796.9977769357002,-0.1891228386158047
22,24.58398580390954,24.698994960359336,796.9978351505875,-0.191993682155485
23,24.583858430902218,24.699186038693938,796.9978944263511,-0.19485487869494764
24,24.58373403237679,24.699377076877983,796.9979547673847,-0.19770623833525522
25,24.583612624470042,24.699568066719404,796.9980161780201,-0.20054757184842031
26,24.583494223112897,24.69975900003615,796.9980786625257,-0.20337869069824926
27,24.58337884402906,24.699949868656944,796.9981422251067,-0.20619940706111411
28,24.583266502733736,24.700140664422065,796.9982068699035,-0.20900953384664944
29,24.583157214532363,24.700331379184107,796.998272600992,-0.21180888471837073
30,24.58305099451938,24.700522004808736,796.9983394223827,-0.21459727411421126
31,24.58294785757701,24.700712533175487,796.9984073380194,-0.217374517266975
32,24.58284781837409,24.700902956178492,796.9984763517795,-0.22014043022470164
33,24.582750891364913,24.701093265727245,796.9985464674724,-0.22289482987094159
34,24.582657090788096,24.701283453747354,796.9986176888397,-0.22563753394493738
35,24.5825664306655,24.701473512181302,796.9986900195544,-0.228368361061709
36,24.58247892480117,24.70166343298919,796.9987634632198,-0.23108713073203985
37,24.582394586780268,24.70185320814947,796.9988380233693,-0.23379366338236052
38,24.58231342996811,24.702042829659693,796.998913703466,-0.23648778037452764
39,24.582235467509143,24.70223228953725,796.9989905069015,-0.2391693040254948
40,24.58216071232602,24.702421579820104,796.9990684369957,-0.24183805762687277
41,24.58208917711866,24.702610692567518,796.9991474969962,-0.24449386546437638
42,24.582020874363383,24.70279961986077,796.9992276900774,-0.24713655283715477
43,24.581955816312007,24.702988353803885,796.9993090193404,-0.24976594607700303
44,24.58189401499104,24.70317688652436,796.9993914878123,-0.25238187256745176
45,24.581835482200862,24.703365210173864,796.9994750984453,-0.2549841607627322
46,24.581780229514955,24.703553316928943,796.9995598541165,-0.2575726402066144
47,24.581728268279136,24.70374119899174,796.9996457576271,-0.26014714155111546
48,24.58167960961083,24.703928848590692,796.9997328117024,-0.2627074965750755
49,24.581634264398403,24.704116257981216,796.9998210189907,-0.2652535382025989
50,24.581592243300463,24.70430341944641,796.9999103820628,-0.26778510052135723
51,24.581553556745234,24.704490325297748,797.0000009034117,-0.27030201880075333
52,24.581518214929957,24.704676967875738,797.0000925854519,-0.2728041295099418
53,24.58148622782027,24.704863339550617,797.0001854305193,-0.2752912703357053
54,24.58145760514969,24.705049432723023,797.0002794408703,-0.2777632802001828
55,24.581432356419054,24.705235239824663,797.0003746186811,-0.28021999927844904
56,24.581410490896037,24.70542075331896,797.000470966048,-0.2826612690159404
57,24.581392017614657,24.705605965701736,797.0005684849866,-0.2850869321457278
58,24.581376945374842,24.70579086950184,797.0006671774307,-0.2874968327056316
59,24.581365282741995,24.70597545728182,797.0007670452324,-0.28989081605517825
60,24.5813570380466,24.70615972163854,797.0008680901618,-0.2922687288923957
61,24.581352219383866,24.706343655203828,797.0009703139062,-0.29463041927044487
62,24.58135083461335,24.706527250645113,797.0010737180703,-0.29697573661408583
63,24.581352891358666,24.70671050066604,797.0011783041748,-0.29930453173597615
64,24.58135839700719,24.706893398007104,797.001284073657,-0.30161665685279987
65,24.581367358709773,24.707075935446245,797.0013910278693,-0.3039119656012238
66,24.58137978338052,24.707258105799465,797.00149916808,-0.3061903130536806
67,24.58139567769654,24.70743990192145,797.001608495472,-0.3084515557339759
68,24.58141504809779,24.70762131670614,797.0017190111428,-0.31069555163271734
69,24.581437900786874,24.70780234308733,797.0018307161037,-0.31292216022256386
70,24.58146424172892,24.70798297403927,797.0019436112804,-0.31513124247329416
71,24.58149407665144,24.70816320257722,797.0020576975118,-0.31732266086669075
72,24.58152741104423,24.708343021758047,797.0021729755498,-0.3194962794112393
73,24.581564250159307,24.708522424680773,797.0022894460594,-0.32165196365664095
74,24.58160459901085,24.70870140448716,797.002407109618,-0.32378958070813546
75,24.58164846237517,24.708879954362242,797.0025259667151,-0.3259089992406348
