,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,26.99,24.09,795.0,0.0,0.019
1,26.99,24.09,795.0,0.0,0.038
2,26.99,24.09,795.0,0.0,0.056999999999999995
3,26.99,24.09,795.0,0.0,0.076
4,26.99,24.09,795.0,0.0,0.095
5,26.99,24.09,795.0,0.0,0.114
6,26.99,24.09,795.0,0.0,0.133
7,26.99,24.09,795.0,0.0,0.152
8,26.99,24.09,795.0,0.0,0.17099999999999999
9,26.99,24.09,795.0,0.0,0.18999999999999997
10,26.99,24.09,795.0,0.0,0.20899999999999996
11,26.99,24.09,795.0,0.0,0.22799999999999995
12,26.99,24.09,795.0,0.0,0.24699999999999994
13,26.99,24.09,795.0,0.0,0.26599999999999996
14,26.99,24.09,795.0,0.0,0.285
15,26.99,24.09,795.0,0.0,0.304
16,27.11,24.09,795.0,0.0,0.323
17,27.11,24.09,795.0,0.0,0.342
18,27.11,24.09,796.0,0.0,0.36100000000000004
19,27.11,24.11,795.0,0.0,0.38000000000000006
20,27.11,24.11,795.0,0.0,0.3990000000000001
21,27.11,24.11,795.0,0.0,0.4180000000000001
22,27.11,24.11,795.0,0.0,0.4370000000000001
23,27.17,24.11,795.0,0.0,0.4560000000000001
24,27.17,24.11,795.0,0.0,0.47500000000000014
25,27.17,24.11,795.0,0.0,0.49400000000000016
26,27.17,24.11,795.0,0.0,0.5130000000000001
27,27.17,24.11,796.0,0.0,0.5320000000000001
28,27.17,24.11,795.0,0.0,0.5510000000000002
29,27.17,24.11,795.0,0.0,0.5700000000000002
30,26.83,24.11,795.0,0.0,0.5890000000000002
31,26.83,24.11,795.0,0.0,0.6080000000000002
32,26.83,24.11,795.0,0.0,0.6270000000000002
33,26.83,24.11,795.0,0.0,0.6460000000000002
34,26.83,24.11,795.0,0.0,0.6650000000000003
35,26.83,24.09,796.0,0.0,0.6840000000000003
36,26.83,24.09,795.0,0.0,0.7030000000000003
37,26.83,24.09,795.0,0.0,0.7220000000000003
38,27.11,24.09,795.0,0.0,0.7410000000000003
39,27.11,24.09,795.0,0.0,0.7600000000000003
40,27.11,24.09,795.0,0.0,0.7790000000000004
41,27.11,24.09,795.0,0.0,0.7980000000000004
42,27.11,24.09,795.0,0.0,0.8170000000000004
43,27.11,24.09,795.0,0.0,0.8360000000000004
44,27.11,24.09,795.0,0.0,0.8550000000000004
45,27.11,24.09,795.0,0.0,0.8740000000000004
46,27.11,24.09,795.0,0.0,0.8930000000000005
47,26.99,24.09,795.0,0.0,0.9120000000000005
48,26.99,24.09,795.0,0.0,0.9310000000000005
49,26.99,24.09,795.0,0.0,0.9500000000000005
50,26.99,24.09,795.0,0.0,0.9690000000000005
51,26.99,24.09,795.0,0.0,0.9880000000000005
52,26.99,24.09,795.0,0.0,1.0070000000000006
