,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,24.23,23.59,801.0,0.0,-0.019
1,24.23,23.59,801.0,0.0,-0.038
2,24.23,23.59,801.0,0.0,-0.056999999999999995
3,24.23,23.59,801.0,0.0,-0.076
4,24.23,23.59,800.0,0.0,-0.095
5,24.23,23.59,800.0,0.0,-0.114
6,24.23,23.59,800.0,0.0,-0.133
7,24.23,23.59,800.0,0.0,-0.152
8,23.87,23.59,800.0,0.0,-0.17099999999999999
9,23.87,23.59,800.0,0.0,-0.18999999999999997
10,23.87,23.59,800.0,0.0,-0.20899999999999996
11,23.87,23.59,801.0,0.0,-0.22799999999999995
12,23.87,23.59,801.0,0.0,-0.24699999999999994
13,23.87,23.59,800.0,0.0,-0.26599999999999996
14,23.87,23.57,801.0,0.0,-0.285
15,23.87,23.57,800.0,0.0,-0.304
16,23.91,23.57,800.0,0.0,-0.323
17,23.91,23.57,800.0,0.0,-0.342
18,23.91,23.57,801.0,0.0,-0.36100000000000004
19,23.91,23.57,801.0,0.0,-0.38000000000000006
20,23.91,23.57,801.0,0.0,-0.3990000000000001
21,23.91,23.57,800.0,0.0,-0.4180000000000001
22,23.91,23.57,800.0,0.0,-0.4370000000000001
23,23.91,23.57,801.0,0.0,-0.4560000000000001
24,23.91,23.57,801.0,0.0,-0.47500000000000014
25,23.93,23.57,801.0,0.0,-0.49400000000000016
26,23.93,23.57,801.0,0.0,-0.5130000000000001
27,23.93,23.57,801.0,0.0,-0.5320000000000001
28,23.93,23.53,800.0,0.0,-0.5510000000000002
29,23.93,23.53,800.0,0.0,-0.5700000000000002
30,23.93,23.53,800.0,0.0,-0.5890000000000002
31,23.93,23.53,800.0,0.0,-0.6080000000000002
32,23.87,23.53,801.0,0.0,-0.6270000000000002
33,23.87,23.53,800.0,0.0,-0.6460000000000002
34,23.87,23.53,800.0,0.0,-0.6650000000000003
35,23.87,23.53,800.0,0.0,-0.6840000000000003
36,23.87,23.63,800.0,0.0,-0.7030000000000003
37,23.87,23.63,800.0,0.0,-0.7220000000000003
38,23.87,23.63,801.0,0.0,-0.7410000000000003
39,23.87,23.63,801.0,0.0,-0.7600000000000003
40,23.87,23.63,800.0,0.0,-0.7790000000000004
41,23.87,23.63,800.0,0.0,-0.7980000000000004
42,23.87,23.63,800.0,0.0,-0.8170000000000004
43,23.87,23.63,801.0,0.0,-0.8360000000000004
44,23.87,23.63,800.0,0.0,-0.8550000000000004
45,23.87,23.57,800.0,0.0,-0.8740000000000004
46,23.87,23.57,800.0,0.0,-0.8930000000000005
47,23.87,23.57,800.0,0.0,-0.9120000000000005
48,23.87,23.57,800.0,0.0,-0.9310000000000005
49,23.99,23.57,800.0,0.0,-0.9120000000000005
50,23.99,23.57,800.0,0.0,-0.8930000000000005
51,23.99,23.57,800.0,0.0,-0.8740000000000004
52,23.99,23.57,800.0,0.0,-0.8550000000000004
53,23.99,23.57,800.0,0.0,-0.8360000000000004
54,23.99,23.57,800.0,0.0,-0.8170000000000004
55,23.99,23.63,800.0,0.0,-0.7980000000000004
56,23.99,23.63,800.0,0.0,-0.7790000000000004
57,24.05,23.63,800.0,0.0,-0.7600000000000003
58,24.05,23.63,800.0,0.0,-0.7410000000000003
59,24.05,23.63,800.0,0.0,-0.7220000000000003
60,24.05,23.63,800.0,0.0,-0.7030000000000003
61,24.05,23.63,800.0,0.0,-0.6840000000000003
62,24.05,23.59,800.0,0.0,-0.6650000000000003
63,24.05,23.59,800.0,0.0,-0.6460000000000002
64,24.05,23.59,800.0,0.0,-0.6270000000000002
65,23.85,23.59,800.0,0.0,-0.6460000000000002
66,23.85,23.59,800.0,0.0,-0.6650000000000003
67,23.85,23.59,800.0,0.0,-0.6840000000000003
68,23.85,23.59,801.0,0.0,-0.7030000000000003
69,23.85,23.59,800.0,0.0,-0.7220000000000003
70,23.85,23.57,800.0,0.0,-0.7410000000000003
71,23.85,23.57,800.0,0.0,-0.7600000000000003
72,23.85,23.57,800.0,0.0,-0.7790000000000004
73,23.85,23.57,800.0,0.0,-0.7980000000000004
74,23.99,23.57,800.0,0.0,-0.7790000000000004
75,23.99,23.57,800.0,0.0,-0.7600000000000003
76,23.99,23.57,800.0,0.0,-0.7410000000000003
77,23.99,23.57,801.0,0.0,-0.7220000000000003
78,23.99,23.63,801.0,0.0,-0.7030000000000003
79,23.99,23.63,801.0,0.0,-0.6840000000000003
80,23.99,23.63,801.0,0.0,-0.6650000000000003
81,24.05,23.63,801.0,0.0,-0.6460000000000002
82,24.05,23.63,801.0,0.0,-0.6270000000000002
83,24.05,23.63,801.0,0.0,-0.6080000000000002
84,24.05,23.63,800.0,0.0,-0.5890000000000002
85,24.05,23.63,801.0,0.0,-0.5700000000000002
86,24.05,23.57,801.0,0.0,-0.5510000000000002
87,24.05,23.57,800.0,0.0,-0.5320000000000001
88,24.05,23.57,801.0,0.0,-0.5130000000000001
89,24.11,23.57,801.0,0.0,-0.4940000000000001
90,24.11,23.57,801.0,0.0,-0.4750000000000001
91,24.11,23.57,800.0,0.0,-0.45600000000000007
92,24.11,23.57,800.0,0.0,-0.43700000000000006
93,24.11,23.57,801.0,0.0,-0.41800000000000004
94,24.11,23.59,800.0,0.0,-0.399
95,24.11,23.59,800.0,0.0,-0.38
96,24.11,23.59,800.0,0.0,-0.361
97,24.11,23.59,800.0,0.0,-0.34199999999999997
98,23.79,23.59,800.0,0.0,-0.361
99,23.79,23.59,800.0,0.0,-0.38
100,23.79,23.59,800.0,0.0,-0.399
101,23.79,23.59,800.0,0.0,-0.41800000000000004
102,23.79,23.59,801.0,0.0,-0.43700000000000006
103,23.79,23.59,801.0,0.0,-0.45600000000000007
104,23.79,23.59,800.0,0.0,-0.4750000000000001
105,23.79,23.59,800.0,0.0,-0.4940000000000001
106,23.79,23.59,800.0,0.0,-0.5130000000000001
107,23.97,23.59,800.0,0.0,-0.4940000000000001
108,23.97,23.59,800.0,0.0,-0.4750000000000001
109,23.97,23.59,800.0,0.0,-0.45600000000000007
110,23.97,23.59,800.0,0.0,-0.43700000000000006
111,23.97,23.59,800.0,0.0,-0.41800000000000004
112,23.97,23.59,800.0,0.0,-0.399
113,23.97,23.65,800.0,0.0,-0.38
114,23.97,23.65,800.0,0.0,-0.361
115,23.97,23.65,800.0,0.0,-0.34199999999999997
116,24.03,23.65,800.0,0.0,-0.32299999999999995
117,24.03,23.65,800.0,0.0,-0.30399999999999994
118,24.03,23.65,800.0,0.0,-0.2849999999999999
119,24.03,23.65,800.0,0.0,-0.2659999999999999
120,24.03,23.65,800.0,0.0,-0.24699999999999991
121,24.03,23.59,800.0,0.0,-0.22799999999999992
122,24.03,23.59,800.0,0.0,-0.20899999999999994
123,24.03,23.59,800.0,0.0,-0.18999999999999995
124,23.97,23.59,800.0,0.0,-0.20899999999999994
125,23.97,23.59,800.0,0.0,-0.22799999999999992
126,23.97,23.59,800.0,0.0,-0.24699999999999991
127,23.97,23.59,800.0,0.0,-0.2659999999999999
128,23.97,23.57,800.0,0.0,-0.2849999999999999
129,23.97,23.57,800.0,0.0,-0.30399999999999994
130,23.97,23.57,800.0,0.0,-0.32299999999999995
131,24.17,23.57,800.0,0.0,-0.30399999999999994
132,24.17,23.57,800.0,0.0,-0.2849999999999999
133,24.17,23.57,800.0,0.0,-0.2659999999999999
134,24.17,23.57,800.0,0.0,-0.24699999999999991
135,24.17,23.57,800.0,0.0,-0.22799999999999992
136,24.17,23.57,801.0,0.0,-0.20899999999999994
137,24.17,23.65,800.0,0.0,-0.18999999999999995
138,24.17,23.65,801.0,0.0,-0.17099999999999996
139,24.17,23.65,800.0,0.0,-0.15199999999999997
140,24.03,23.65,800.0,0.0,-0.17099999999999996
141,24.03,23.65,800.0,0.0,-0.18999999999999995
142,24.03,23.65,800.0,0.0,-0.20899999999999994
143,24.03,23.65,800.0,0.0,-0.22799999999999992
144,24.03,23.65,800.0,0.0,-0.24699999999999991
145,24.03,23.65,800.0,0.0,-0.2659999999999999
146,24.03,23.63,800.0,0.0,-0.2849999999999999
147,24.03,23.63,800.0,0.0,-0.30399999999999994
148,24.03,23.63,800.0,0.0,-0.32299999999999995
149,23.99,23.63,800.0,0.0,-0.34199999999999997
150,23.99,23.63,800.0,0.0,-0.361
