,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,23.33,22.85,800.0,0.0,-0.019
1,23.33,22.85,800.0,0.0,-0.038
2,23.33,22.85,800.0,0.0,-0.056999999999999995
3,23.33,22.85,800.0,0.0,-0.076
4,23.33,22.85,800.0,0.0,-0.095
5,23.33,22.85,800.0,0.0,-0.114
6,23.33,22.85,800.0,0.0,-0.133
7,23.33,22.85,800.0,0.0,-0.152
8,23.33,22.83,800.0,0.0,-0.17099999999999999
9,23.33,22.83,800.0,0.0,-0.18999999999999997
10,23.33,22.83,800.0,0.0,-0.20899999999999996
11,23.33,22.83,800.0,0.0,-0.22799999999999995
12,23.39,22.83,800.0,0.0,-0.24699999999999994
13,23.39,22.83,800.0,0.0,-0.26599999999999996
14,23.39,22.83,800.0,0.0,-0.285
15,23.39,22.83,800.0,0.0,-0.304
16,23.39,22.83,800.0,0.0,-0.323
17,23.39,22.85,800.0,0.0,-0.342
18,23.39,22.85,800.0,0.0,-0.36100000000000004
19,23.39,22.85,800.0,0.0,-0.38000000000000006
20,23.39,22.85,800.0,0.0,-0.3990000000000001
21,23.39,22.85,800.0,0.0,-0.4180000000000001
22,23.39,22.85,800.0,0.0,-0.4370000000000001
23,23.39,22.85,800.0,0.0,-0.4560000000000001
24,23.39,22.85,800.0,0.0,-0.47500000000000014
25,23.39,22.85,800.0,0.0,-0.49400000000000016
26,23.39,22.85,800.0,0.0,-0.5130000000000001
27,23.39,22.85,800.0,0.0,-0.5320000000000001
28,23.39,22.85,800.0,0.0,-0.5510000000000002
29,23.39,22.85,800.0,0.0,-0.5700000000000002
30,23.23,22.85,800.0,0.0,-0.5890000000000002
31,23.23,22.85,800.0,0.0,-0.6080000000000002
32,23.23,22.85,800.0,0.0,-0.6270000000000002
33,23.23,22.85,800.0,0.0,-0.6460000000000002
34,23.23,22.85,800.0,0.0,-0.6650000000000003
35,23.23,22.87,800.0,0.0,-0.6840000000000003
36,23.23,22.87,800.0,0.0,-0.7030000000000003
37,23.23,22.87,800.0,0.0,-0.7220000000000003
38,23.39,22.87,800.0,0.0,-0.7410000000000003
39,23.39,22.87,800.0,0.0,-0.7600000000000003
40,23.39,22.87,800.0,0.0,-0.7790000000000004
41,23.39,22.87,800.0,0.0,-0.7980000000000004
42,23.39,22.81,800.0,0.0,-0.8170000000000004
43,23.39,22.81,800.0,0.0,-0.8360000000000004
44,23.39,22.81,800.0,0.0,-0.8550000000000004
45,23.39,22.81,800.0,0.0,-0.8740000000000004
46,23.45,22.81,800.0,0.0,-0.8930000000000005
47,23.45,22.81,800.0,0.0,-0.9120000000000005
48,23.45,22.81,800.0,0.0,-0.9310000000000005
49,23.45,22.81,800.0,0.0,-0.9500000000000005
50,23.45,22.81,800.0,0.0,-0.9690000000000005
51,23.45,22.83,800.0,0.0,-0.9880000000000005
52,23.45,22.83,800.0,0.0,-1.0070000000000006
53,23.45,22.83,800.0,0.0,-1.0260000000000005
54,23.17,22.83,800.0,0.0,-1.0450000000000004
55,23.17,22.83,800.0,0.0,-1.0640000000000003
56,23.17,22.83,800.0,0.0,-1.0830000000000002
57,23.17,22.83,800.0,0.0,-1.102
58,23.17,22.83,800.0,0.0,-1.121
59,23.17,22.85,800.0,0.0,-1.14
60,23.17,22.85,800.0,0.0,-1.1589999999999998
61,23.17,22.85,800.0,0.0,-1.1779999999999997
62,23.17,22.85,800.0,0.0,-1.1969999999999996
63,23.47,22.85,800.0,0.0,-1.1779999999999997
64,23.47,22.85,800.0,0.0,-1.1589999999999998
65,23.47,22.85,800.0,0.0,-1.14
66,23.47,22.85,800.0,0.0,-1.121
67,23.47,22.85,800.0,0.0,-1.102
68,23.47,22.85,800.0,0.0,-1.0830000000000002
69,23.47,22.85,800.0,0.0,-1.0640000000000003
70,23.47,22.85,800.0,0.0,-1.0450000000000004
71,23.47,22.85,800.0,0.0,-1.0260000000000005
72,23.47,22.85,800.0,0.0,-1.0070000000000006
73,23.47,22.85,800.0,0.0,-0.9880000000000005
74,23.47,22.85,800.0,0.0,-0.9690000000000005
75,23.47,22.85,800.0,0.0,-0.9500000000000005
76,23.47,22.85,800.0,0.0,-0.9310000000000005
77,23.47,22.85,800.0,0.0,-0.9120000000000005
78,23.39,22.85,800.0,0.0,-0.9310000000000005
79,23.39,22.85,800.0,0.0,-0.9500000000000005
80,23.39,22.85,800.0,0.0,-0.9690000000000005
81,23.39,22.83,800.0,0.0,-0.9880000000000005
82,23.39,22.83,800.0,0.0,-1.0070000000000006
83,23.39,22.83,800.0,0.0,-1.0260000000000005
84,23.39,22.83,799.0,0.0,-1.0450000000000004
85,23.45,22.83,800.0,0.0,-1.0260000000000005
86,23.45,22.83,799.0,0.0,-1.0070000000000006
87,23.45,22.83,799.0,0.0,-0.9880000000000005
88,23.45,22.83,800.0,0.0,-0.9690000000000005
89,23.45,22.83,799.0,0.0,-0.9500000000000005
90,23.45,22.87,800.0,0.0,-0.9310000000000005
91,23.45,22.87,800.0,0.0,-0.9120000000000005
92,23.45,22.87,800.0,0.0,-0.8930000000000005
93,23.21,22.87,800.0,0.0,-0.9120000000000005
94,23.21,22.87,799.0,0.0,-0.9310000000000005
95,23.21,22.87,800.0,0.0,-0.9500000000000005
96,23.21,22.87,800.0,0.0,-0.9690000000000005
97,23.21,22.85,799.0,0.0,-0.9880000000000005
98,23.21,22.85,799.0,0.0,-1.0070000000000006
99,23.21,22.85,799.0,0.0,-1.0260000000000005
100,23.21,22.85,800.0,0.0,-1.0450000000000004
101,23.41,22.85,800.0,0.0,-1.0260000000000005
102,23.41,22.85,800.0,0.0,-1.0070000000000006
103,23.41,22.85,799.0,0.0,-0.9880000000000005
104,23.41,22.85,800.0,0.0,-0.9690000000000005
105,23.41,22.87,800.0,0.0,-0.9500000000000005
106,23.41,22.87,799.0,0.0,-0.9310000000000005
107,23.41,22.87,800.0,100.0,-0.9120000000000005
108,23.21,22.87,800.0,0.0,-0.9310000000000005
109,23.21,22.87,800.0,0.0,-0.9500000000000005
110,23.21,22.87,800.0,0.0,-0.9690000000000005
111,23.21,22.87,800.0,0.0,-0.9880000000000005
112,23.21,22.83,800.0,0.0,-1.0070000000000006
113,23.21,22.83,800.0,0.0,-1.0260000000000005
114,23.21,22.83,800.0,0.0,-1.0450000000000004
115,23.21,22.83,800.0,0.0,-1.0640000000000003
116,23.63,22.83,800.0,0.0,-1.0450000000000004
117,23.63,22.83,800.0,0.0,-1.0260000000000005
118,23.63,22.83,800.0,0.0,-1.0070000000000006
119,23.63,22.83,800.0,0.0,-0.9880000000000005
120,23.63,22.83,800.0,0.0,-0.9690000000000005
121,23.63,22.83,800.0,0.0,-0.9500000000000005
122,23.63,22.83,800.0,0.0,-0.9310000000000005
123,23.63,22.83,800.0,0.0,-0.9120000000000005
124,23.63,22.83,800.0,0.0,-0.8930000000000005
125,23.59,22.83,800.0,0.0,-0.8740000000000004
126,23.59,22.83,799.0,0.0,-0.8550000000000004
127,23.59,22.83,800.0,0.0,-0.8360000000000004
128,23.59,22.83,799.0,0.0,-0.8170000000000004
129,23.59,22.87,800.0,0.0,-0.7980000000000004
130,23.59,22.87,800.0,0.0,-0.7790000000000004
131,23.59,22.87,800.0,0.0,-0.7600000000000003
132,23.57,22.87,800.0,0.0,-0.7410000000000003
133,23.57,22.87,800.0,0.0,-0.7220000000000003
134,23.57,22.87,800.0,0.0,-0.7030000000000003
135,23.57,22.87,800.0,0.0,-0.6840000000000003
136,23.57,22.87,800.0,0.0,-0.6650000000000003
137,23.57,22.87,800.0,0.0,-0.6460000000000002
138,23.57,22.85,800.0,0.0,-0.6270000000000002
139,23.57,22.85,800.0,0.0,-0.6080000000000002
140,23.57,22.85,800.0,0.0,-0.5890000000000002
141,23.57,22.85,800.0,0.0,-0.5700000000000002
142,23.57,22.85,800.0,0.0,-0.5510000000000002
143,23.57,22.85,800.0,0.0,-0.5320000000000001
144,23.57,22.85,800.0,0.0,-0.5130000000000001
145,23.57,22.85,800.0,0.0,-0.4940000000000001
