,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,24.53,24.71,797.0,0.0,-0.019
1,24.53,24.71,797.0,0.0,-0.038
2,24.53,24.71,797.0,0.0,-0.056999999999999995
3,24.53,24.71,797.0,0.0,-0.076
4,24.53,24.71,797.0,0.0,-0.095
5,24.53,24.71,797.0,0.0,-0.114
6,24.53,24.71,797.0,0.0,-0.133
7,24.53,24.71,797.0,0.0,-0.152
8,24.71,24.71,797.0,0.0,-0.17099999999999999
9,24.71,24.71,797.0,0.0,-0.18999999999999997
10,24.71,24.71,797.0,0.0,-0.20899999999999996
11,24.71,24.71,797.0,0.0,-0.22799999999999995
12,24.71,24.71,797.0,0.0,-0.24699999999999994
13,24.71,24.75,797.0,0.0,-0.26599999999999996
14,24.71,24.75,797.0,0.0,-0.285
15,24.41,24.75,797.0,0.0,-0.304
16,24.41,24.75,797.0,0.0,-0.323
17,24.41,24.75,797.0,0.0,-0.342
18,24.41,24.75,797.0,0.0,-0.36100000000000004
19,24.41,24.75,797.0,0.0,-0.38000000000000006
20,24.41,24.69,797.0,0.0,-0.3990000000000001
21,24.41,24.69,797.0,0.0,-0.4180000000000001
22,24.41,24.69,797.0,0.0,-0.4370000000000001
23,24.41,24.69,797.0,0.0,-0.4560000000000001
24,24.39,24.69,797.0,0.0,-0.47500000000000014
25,24.39,24.69,797.0,0.0,-0.49400000000000016
26,24.39,24.69,797.0,0.0,-0.5130000000000001
27,24.39,24.69,797.0,0.0,-0.5320000000000001
28,24.39,24.69,797.0,0.0,-0.5510000000000002
29,24.39,24.71,797.0,0.0,-0.5700000000000002
30,24.39,24.71,797.0,0.0,-0.5890000000000002
31,24.39,24.71,797.0,0.0,-0.6080000000000002
32,24.35,24.71,797.0,0.0,-0.6270000000000002
33,24.35,24.71,797.0,0.0,-0.6460000000000002
34,24.35,24.71,797.0,0.0,-0.6650000000000003
35,24.35,24.71,797.0,0.0,-0.6840000000000003
36,24.35,24.71,797.0,0.0,-0.7030000000000003
37,24.35,24.71,797.0,0.0,-0.7220000000000003
38,24.35,24.71,797.0,0.0,-0.7410000000000003
39,24.35,24.71,797.0,0.0,-0.7600000000000003
40,24.35,24.71,797.0,0.0,-0.7790000000000004
41,24.45,24.71,797.0,0.0,-0.7600000000000003
42,24.45,24.71,797.0,0.0,-0.7410000000000003
43,24.45,24.71,797.0,0.0,-0.7220000000000003
44,24.45,24.71,797.0,0.0,-0.7030000000000003
45,24.45,24.71,797.0,0.0,-0.6840000000000003
46,24.45,24.71,797.0,0.0,-0.6650000000000003
47,24.45,24.71,797.0,0.0,-0.6460000000000002
48,24.45,24.71,797.0,0.0,-0.6270000000000002
49,24.45,24.71,797.0,0.0,-0.6080000000000002
50,24.39,24.71,797.0,0.0,-0.6270000000000002
51,24.39,24.71,797.0,0.0,-0.6460000000000002
52,24.39,24.71,797.0,0.0,-0.6650000000000003
53,24.39,24.71,797.0,0.0,-0.6840000000000003
54,24.39,24.75,797.0,0.0,-0.7030000000000003
55,24.39,24.75,797.0,0.0,-0.7220000000000003
56,24.39,24.75,797.0,0.0,-0.7410000000000003
57,24.63,24.75,797.0,0.0,-0.7220000000000003
58,24.63,24.75,797.0,0.0,-0.7030000000000003
59,24.63,24.75,797.0,0.0,-0.6840000000000003
60,24.63,24.75,797.0,0.0,-0.6650000000000003
61,24.63,24.75,797.0,0.0,-0.6460000000000002
62,24.63,24.75,797.0,0.0,-0.6270000000000002
63,24.63,24.75,797.0,0.0,-0.6080000000000002
64,24.63,24.75,797.0,0.0,-0.5890000000000002
65,24.63,24.75,797.0,0.0,-0.5700000000000002
66,24.39,24.75,797.0,0.0,-0.5890000000000002
67,24.39,24.75,797.0,0.0,-0.6080000000000002
68,24.39,24.75,797.0,0.0,-0.6270000000000002
69,24.39,24.75,797.0,0.0,-0.6460000000000002
70,24.39,24.75,797.0,0.0,-0.6650000000000003
71,24.39,24.69,797.0,0.0,-0.6840000000000003
72,24.39,24.69,797.0,0.0,-0.7030000000000003
73,24.39,24.69,797.0,0.0,-0.7220000000000003
74,24.39,24.69,797.0,0.0,-0.7410000000000003
75,24.63,24.69,797.0,0.0,-0.7220000000000003
76,24.63,24.69,797.0,0.0,-0.7030000000000003
77,24.63,24.69,797.0,0.0,-0.6840000000000003
78,24.63,24.69,797.0,0.0,-0.6650000000000003
79,24.63,24.71,797.0,0.0,-0.6460000000000002
80,24.63,24.71,797.0,0.0,-0.6270000000000002
81,24.63,24.71,797.0,0.0,-0.6080000000000002
82,24.75,24.71,797.0,0.0,-0.5890000000000002
83,24.75,24.71,797.0,0.0,-0.5700000000000002
84,24.75,24.71,797.0,0.0,-0.5510000000000002
85,24.75,24.71,797.0,0.0,-0.5320000000000001
86,24.75,24.71,797.0,0.0,-0.5130000000000001
87,24.75,24.71,797.0,0.0,-0.4940000000000001
88,24.75,24.69,797.0,0.0,-0.4750000000000001
89,24.75,24.69,797.0,0.0,-0.45600000000000007
90,24.75,24.69,797.0,0.0,-0.43700000000000006
91,24.75,24.69,797.0,0.0,-0.41800000000000004
92,24.59,24.69,797.0,0.0,-0.43700000000000006
93,24.59,24.69,797.0,0.0,-0.45600000000000007
94,24.59,24.69,797.0,0.0,-0.4750000000000001
95,24.59,24.69,797.0,0.0,-0.4940000000000001
96,24.59,24.69,797.0,0.0,-0.5130000000000001
97,24.59,24.71,797.0,0.0,-0.5320000000000001
98,24.59,24.71,797.0,0.0,-0.5510000000000002
99,24.59,24.71,797.0,0.0,-0.5700000000000002
100,24.59,24.71,797.0,0.0,-0.5890000000000002
101,24.63,24.71,797.0,0.0,-0.5700000000000002
102,24.63,24.71,797.0,0.0,-0.5510000000000002
103,24.63,24.71,797.0,0.0,-0.5320000000000001
104,24.63,24.71,797.0,0.0,-0.5130000000000001
105,24.63,24.75,797.0,0.0,-0.4940000000000001
106,24.63,24.75,797.0,0.0,-0.4750000000000001
107,24.63,24.75,797.0,0.0,-0.45600000000000007
108,24.63,24.75,797.0,0.0,-0.43700000000000006
109,24.75,24.75,797.0,0.0,-0.41800000000000004
110,24.75,24.75,797.0,0.0,-0.399
111,24.75,24.75,797.0,0.0,-0.38
112,24.75,24.75,797.0,0.0,-0.361
113,24.75,24.75,797.0,0.0,-0.34199999999999997
114,24.75,24.75,797.0,0.0,-0.32299999999999995
115,24.75,24.75,798.0,0.0,-0.30399999999999994
116,24.75,24.75,797.0,0.0,-0.2849999999999999
117,24.75,24.75,797.0,0.0,-0.2659999999999999
118,24.57,24.75,797.0,0.0,-0.2849999999999999
119,24.57,24.75,797.0,0.0,-0.30399999999999994
120,24.57,24.75,797.0,0.0,-0.32299999999999995
121,24.57,24.75,797.0,0.0,-0.34199999999999997
122,24.57,24.75,797.0,0.0,-0.361
