,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,26.03,24.59,798.0,0.0,0.019
1,26.03,24.59,798.0,0.0,0.038
2,26.03,24.59,798.0,0.0,0.056999999999999995
3,26.03,24.59,798.0,0.0,0.076
4,26.03,24.59,798.0,0.0,0.095
5,26.03,24.63,798.0,0.0,0.114
6,26.03,24.63,798.0,0.0,0.133
7,26.03,24.63,798.0,0.0,0.152
8,25.93,24.63,798.0,0.0,0.17099999999999999
9,25.93,24.63,798.0,0.0,0.18999999999999997
10,25.93,24.63,798.0,0.0,0.20899999999999996
11,25.93,24.63,798.0,0.0,0.22799999999999995
12,25.93,24.63,798.0,0.0,0.24699999999999994
13,25.93,24.59,798.0,0.0,0.26599999999999996
14,25.93,24.59,798.0,0.0,0.285
15,25.93,24.59,798.0,0.0,0.304
16,26.03,24.59,798.0,0.0,0.323
17,26.03,24.59,798.0,0.0,0.342
18,26.03,24.59,798.0,0.0,0.36100000000000004
19,26.03,24.59,798.0,0.0,0.38000000000000006
20,26.03,24.59,798.0,0.0,0.3990000000000001
21,26.03,24.59,798.0,0.0,0.4180000000000001
22,26.03,24.57,798.0,0.0,0.4370000000000001
23,26.03,24.57,798.0,0.0,0.4560000000000001
24,26.03,24.57,798.0,0.0,0.47500000000000014
25,26.03,24.57,798.0,0.0,0.49400000000000016
26,25.79,24.57,798.0,0.0,0.5130000000000001
27,25.79,24.57,798.0,0.0,0.5320000000000001
28,25.79,24.57,798.0,0.0,0.5510000000000002
29,25.79,24.57,798.0,0.0,0.5700000000000002
30,25.79,24.57,798.0,0.0,0.5890000000000002
31,25.79,24.65,798.0,0.0,0.6080000000000002
32,25.79,24.65,798.0,0.0,0.6270000000000002
33,25.79,24.65,798.0,0.0,0.6460000000000002
34,25.79,24.65,798.0,0.0,0.6650000000000003
35,25.79,24.65,798.0,0.0,0.6840000000000003
36,25.79,24.65,798.0,0.0,0.7030000000000003
37,25.79,24.65,798.0,0.0,0.7220000000000003
38,25.79,24.65,798.0,0.0,0.7410000000000003
39,25.79,24.61,798.0,0.0,0.7600000000000003
40,25.79,24.61,798.0,0.0,0.7790000000000004
41,25.79,24.61,798.0,0.0,0.7980000000000004
42,25.79,24.61,798.0,0.0,0.8170000000000004
43,25.81,24.61,798.0,0.0,0.8360000000000004
44,25.81,24.61,798.0,0.0,0.8550000000000004
45,25.81,24.61,798.0,0.0,0.8740000000000004
