,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,27.05,23.97,797.0,0.0,0.019
1,27.05,23.97,796.0,0.0,0.038
2,27.05,23.97,796.0,0.0,0.056999999999999995
3,27.05,23.97,797.0,0.0,0.076
4,27.05,23.95,797.0,0.0,0.095
5,27.05,23.95,797.0,0.0,0.114
6,27.05,23.95,796.0,0.0,0.133
7,27.05,23.95,796.0,0.0,0.152
8,27.09,23.95,797.0,0.0,0.17099999999999999
9,27.09,23.95,797.0,0.0,0.18999999999999997
10,27.09,23.95,796.0,0.0,0.20899999999999996
11,27.09,23.95,797.0,0.0,0.22799999999999995
12,27.09,23.95,797.0,0.0,0.24699999999999994
13,27.09,23.95,797.0,0.0,0.26599999999999996
14,27.09,23.89,797.0,0.0,0.285
15,27.09,23.89,797.0,0.0,0.304
16,27.09,23.89,796.0,0.0,0.323
17,27.03,23.89,797.0,0.0,0.342
18,27.03,23.89,797.0,0.0,0.36100000000000004
19,27.03,23.89,797.0,0.0,0.38000000000000006
20,27.03,23.89,797.0,0.0,0.3990000000000001
21,27.03,23.89,797.0,0.0,0.4180000000000001
22,27.03,23.89,797.0,0.0,0.4370000000000001
23,27.03,23.89,797.0,0.0,0.4560000000000001
24,27.03,23.89,796.0,0.0,0.47500000000000014
25,27.05,23.89,797.0,0.0,0.49400000000000016
26,27.05,23.89,797.0,0.0,0.5130000000000001
27,27.05,23.89,797.0,0.0,0.5320000000000001
28,27.05,23.89,796.0,0.0,0.5510000000000002
29,27.05,23.89,796.0,0.0,0.5700000000000002
30,27.05,23.89,797.0,0.0,0.5890000000000002
31,27.05,23.95,797.0,0.0,0.6080000000000002
32,27.05,23.95,796.0,0.0,0.6270000000000002
33,27.05,23.95,796.0,0.0,0.6460000000000002
34,27.11,23.95,796.0,0.0,0.6650000000000003
35,27.11,23.95,797.0,0.0,0.6840000000000003
36,27.11,23.95,796.0,0.0,0.7030000000000003
37,27.11,23.95,797.0,0.0,0.7220000000000003
38,27.11,23.95,797.0,0.0,0.7410000000000003
39,27.11,23.95,797.0,0.0,0.7600000000000003
40,27.11,23.89,797.0,0.0,0.7790000000000004
41,27.11,23.89,797.0,0.0,0.7980000000000004
42,27.11,23.89,796.0,0.0,0.8170000000000004
43,27.11,23.89,796.0,0.0,0.8360000000000004
44,27.05,23.89,796.0,0.0,0.8550000000000004
45,27.05,23.89,797.0,0.0,0.8740000000000004
46,27.05,23.89,797.0,0.0,0.8930000000000005
47,27.05,23.89,797.0,0.0,0.9120000000000005
48,27.05,23.89,797.0,0.0,0.9310000000000005
49,27.05,23.89,797.0,0.0,0.9500000000000005
50,27.05,23.89,797.0,0.0,0.9690000000000005
51,27.05,23.89,797.0,0.0,0.9880000000000005
52,27.05,23.89,797.0,0.0,1.0070000000000006
53,27.05,23.89,797.0,0.0,1.0260000000000005
54,27.05,23.89,797.0,0.0,1.0450000000000004
55,27.05,23.89,797.0,0.0,1.0640000000000003
56,27.05,23.89,797.0,0.0,1.0830000000000002
57,27.05,23.91,796.0,0.0,1.102
58,27.05,23.91,797.0,0.0,1.121
59,27.05,23.91,797.0,0.0,1.14
60,27.05,23.91,797.0,0.0,1.1589999999999998
61,27.15,23.91,797.0,0.0,1.1779999999999997
62,27.15,23.91,797.0,0.0,1.1969999999999996
63,27.15,23.91,797.0,0.0,1.2159999999999995
64,27.15,23.91,797.0,0.0,1.2349999999999994
65,27.15,23.97,797.0,0.0,1.2539999999999993
66,27.15,23.97,797.0,0.0,1.2729999999999992
67,27.15,23.97,797.0,100.0,1.2919999999999991
68,27.11,23.97,797.0,0.0,1.310999999999999
69,27.11,23.97,797.0,0.0,1.329999999999999
70,27.11,23.97,796.0,0.0,1.3489999999999989
71,27.11,23.97,796.0,0.0,1.3679999999999988
72,27.11,23.93,796.0,0.0,1.3869999999999987
73,27.11,23.93,797.0,0.0,1.4059999999999986
74,27.11,23.93,796.0,0.0,1.4249999999999985
75,27.11,23.93,796.0,0.0,1.4439999999999984
76,27.43,23.93,796.0,0.0,1.4629999999999983
77,27.43,23.93,796.0,0.0,1.4819999999999982
78,27.43,23.93,796.0,0.0,1.5009999999999981
79,27.43,23.93,796.0,0.0,1.519999999999998
80,27.43,23.93,796.0,0.0,1.538999999999998
81,27.43,23.93,797.0,0.0,1.5579999999999978
82,27.09,23.93,796.0,0.0,1.538999999999998
83,27.09,23.93,796.0,0.0,1.519999999999998
84,27.09,23.93,796.0,0.0,1.5009999999999981
85,27.09,23.93,797.0,0.0,1.4819999999999982
86,27.09,23.93,796.0,0.0,1.4629999999999983
87,27.09,23.93,796.0,0.0,1.4439999999999984
88,27.09,23.91,796.0,0.0,1.4249999999999985
89,26.93,23.91,796.0,0.0,1.4059999999999986
90,26.93,23.91,796.0,0.0,1.3869999999999987
91,26.93,23.91,797.0,0.0,1.3679999999999988
92,26.93,23.91,797.0,0.0,1.3489999999999989
93,26.93,23.91,796.0,0.0,1.329999999999999
94,26.93,23.91,796.0,0.0,1.310999999999999
95,26.93,23.95,796.0,0.0,1.2919999999999991
96,26.93,23.95,796.0,0.0,1.2729999999999992
97,26.93,23.95,797.0,0.0,1.2539999999999993
98,26.79,23.95,797.0,0.0,1.2349999999999994
99,26.79,23.95,796.0,0.0,1.2159999999999995
100,26.79,23.95,796.0,0.0,1.1969999999999996
101,26.79,23.95,796.0,0.0,1.1779999999999997
102,26.79,23.95,796.0,0.0,1.1589999999999998
103,26.79,23.95,796.0,0.0,1.14
104,26.79,23.91,797.0,0.0,1.121
105,26.79,23.91,797.0,0.0,1.102
106,26.79,23.91,797.0,0.0,1.0830000000000002
107,26.79,23.91,797.0,0.0,1.0640000000000003
108,26.73,23.91,797.0,0.0,1.0450000000000004
109,26.73,23.91,796.0,0.0,1.0260000000000005
