,SMA temperature,Ambiente temperature,Force sensor,Control input,Temperature derivative
0,26.05,24.33,797.0,0.0,0.019
1,26.05,24.33,797.0,0.0,0.038
2,26.05,24.31,797.0,0.0,0.056999999999999995
3,26.05,24.31,797.0,0.0,0.076
4,26.05,24.31,797.0,0.0,0.095
5,26.05,24.31,797.0,0.0,0.114
6,25.85,24.31,797.0,0.0,0.133
7,25.85,24.31,797.0,0.0,0.152
8,25.85,24.31,797.0,0.0,0.17099999999999999
9,25.85,24.31,796.0,0.0,0.18999999999999997
10,25.85,24.31,796.0,0.0,0.20899999999999996
11,25.85,24.29,796.0,0.0,0.22799999999999995
12,25.85,24.29,797.0,0.0,0.24699999999999994
13,25.99,24.29,796.0,0.0,0.26599999999999996
14,25.99,24.29,796.0,0.0,0.285
15,25.99,24.29,797.0,0.0,0.304
16,25.99,24.29,797.0,0.0,0.323
17,25.99,24.33,796.0,0.0,0.342
18,25.99,24.33,796.0,0.0,0.36100000000000004
19,25.99,24.33,796.0,0.0,0.38000000000000006
20,25.87,24.33,796.0,0.0,0.3990000000000001
21,25.87,24.33,796.0,0.0,0.4180000000000001
22,25.87,24.33,796.0,0.0,0.4370000000000001
23,25.87,24.33,796.0,0.0,0.4560000000000001
24,25.87,24.33,796.0,0.0,0.47500000000000014
25,25.87,24.25,796.0,0.0,0.49400000000000016
26,25.87,24.25,797.0,0.0,0.5130000000000001
27,25.87,24.25,796.0,0.0,0.5320000000000001
28,25.91,24.25,796.0,0.0,0.5510000000000002
29,25.91,24.25,796.0,0.0,0.5700000000000002
30,25.91,24.25,796.0,0.0,0.5890000000000002
31,25.91,24.25,796.0,0.0,0.6080000000000002
32,25.91,24.25,797.0,0.0,0.6270000000000002
33,25.91,24.33,796.0,0.0,0.6460000000000002
34,25.91,24.33,796.0,0.0,0.6650000000000003
35,25.91,24.33,796.0,0.0,0.6840000000000003
36,25.91,24.33,796.0,0.0,0.7030000000000003
37,25.97,24.33,797.0,0.0,0.7220000000000003
38,25.97,24.33,796.0,0.0,0.7410000000000003
39,25.97,24.33,796.0,0.0,0.7600000000000003
40,25.97,24.33,796.0,0.0,0.7790000000000004
41,25.97,24.33,797.0,0.0,0.7980000000000004
42,25.97,24.31,797.0,0.0,0.8170000000000004
43,25.97,24.31,797.0,0.0,0.8360000000000004
44,25.97,24.31,796.0,0.0,0.8550000000000004
45,25.97,24.31,797.0,0.0,0.8740000000000004
46,26.15,24.31,796.0,0.0,0.8930000000000005
47,26.15,24.31,797.0,0.0,0.9120000000000005
48,26.15,24.31,797.0,0.0,0.9310000000000005
49,26.15,24.31,796.0,0.0,0.9500000000000005
50,26.15,24.33,797.0,0.0,0.9690000000000005
51,26.15,24.33,797.0,0.0,0.9880000000000005
52,26.15,24.33,796.0,0.0,1.0070000000000006
53,25.97,24.33,796.0,0.0,0.9880000000000005
54,25.97,24.33,796.0,0.0,0.9690000000000005
55,25.97,24.33,796.0,0.0,0.9500000000000005
56,25.97,24.33,796.0,0.0,0.9310000000000005
57,25.97,24.33,796.0,0.0,0.9120000000000005
58,25.97,24.31,796.0,0.0,0.8930000000000005
59,25.97,24.31,796.0,0.0,0.8740000000000004
60,25.97,24.31,796.0,0.0,0.8550000000000004
61,25.97,24.31,796.0,0.0,0.8360000000000004
62,25.97,24.31,796.0,0.0,0.8170000000000004
63,25.97,24.31,796.0,0.0,0.7980000000000004
64,25.97,24.31,796.0,0.0,0.7790000000000004
65,25.97,24.35,796.0,0.0,0.7600000000000003
66,25.97,24.35,796.0,0.0,0.7410000000000003
67,25.97,24.35,797.0,0.0,0.7220000000000003
68,25.97,24.35,796.0,0.0,0.7030000000000003
69,25.91,24.35,796.0,0.0,0.6840000000000003
70,25.91,24.35,796.0,0.0,0.6650000000000003
71,25.91,24.35,796.0,0.0,0.6460000000000002
72,25.91,24.35,796.0,0.0,0.6270000000000002
73,25.91,24.35,796.0,0.0,0.6080000000000002
74,25.91,24.31,797.0,0.0,0.5890000000000002
75,25.91,24.31,796.0,0.0,0.5700000000000002
76,25.91,24.31,796.0,0.0,0.5510000000000002
77,25.93,24.31,796.0,0.0,0.5700000000000002
78,25.93,24.31,796.0,0.0,0.5510000000000002
79,25.93,24.31,797.0,0.0,0.5320000000000001
80,25.93,24.31,797.0,0.0,0.5130000000000001
81,25.93,24.31,796.0,0.0,0.4940000000000001
